excel_datei;blatt;spalte;kennzahl;lina_endpunkt;lina_feld;transformation;status;offene_frage
Umsetzung Berichte (1).xlsx;Laden;;Lohnniveau, Krankenstand;Team > Zeitkonten;-;nicht erschlossen;fehlt;Phase 1b
Umsetzung Berichte (1).xlsx;Laden;;Theoretische WE vs. BWA;getArtikelverkaufsbericht + getKennzahlen;fixed_we * counts vs WE Bar/Kueche;fixed_we x counts vs getKennzahlen - Rezepturaufloesung NICHT noetig;ableitbar;
Umsetzung Berichte (1).xlsx;Laden;;WE und DB pro Artikel;getArtikelverkaufsbericht;fixed_we, prices, netto;DB = netto - fixed_we*counts;ableitbar;
Umsetzung Berichte (1).xlsx;Laden;;MA-Kosten pro Stunde;Team > Zeitkonten;-;;fehlt;Phase 1b
Umsetzung Berichte (1).xlsx;Laden;;Stornobericht;finanzen/analytics/getReport?report=38&storeId=<encId>;Artikelnummer, Artikel, Stornotyp, Anzahl, Umsatz_Brutto, Umsatz_Netto;Betriebs-Reportcenter, per storeId adressierbar;direkt;Stornotyp-Auspraegungen unverifiziert - kein Betrieb mit Stornodaten gefunden
Umsetzung Berichte (1).xlsx;Laden;;Gutscheinverkauf und Einloesung;getUmsatzbericht + Voucher;hauptsparten 10003/95;;ableitbar;
Umsetzung Berichte (1).xlsx;Laden;;Umsatzentwicklung nach Sparte/Artikel/Tageszeit;getUmsatzbericht + getZeitzonenbericht;hauptsparten/feinsparten + hours;;ableitbar;
Umsetzung Berichte (1).xlsx;Franchise;;Zeitzonenbericht;getZeitzonenbericht;stores[].hours;Geschaeftstag 08:00-07:59;direkt;
Umsetzung Berichte (1).xlsx;Franchise;;Zeitzonenbericht vordefiniert;getVordefinierteZeitzonenBericht;zeitzonen, values;time_from/to = Minuten seit Mitternacht;direkt;
Umsetzung Berichte (1).xlsx;Franchise;;Umsatz nach Karte (Sparte/Feinsparte);getUmsatzbericht;hauptsparten / feinsparten;hauptsparten erwartet posId;direkt;
Umsetzung Berichte (1).xlsx;Franchise;;Umsatz Marketingaktion;getAktionsbericht;aktionen, rows[].cells;;direkt;
Umsetzung Berichte (1).xlsx;Holding;;Darlehen / Verbindlichkeiten / Budget / Jahresplanung / EK-Konsolidierung;NICHT IN LINA;-;Ebene existiert in LINA noch nicht;fehlt;externe Quelle noetig
JULI_Round_Table_Ampelsystem.xlsx;Eingabe;-;Rendite / EBIT %;getKennzahlen (mode=relativ);EBIT;Prozent vom BWA-Umsatz;direkt;
Umsetzung Berichte (1).xlsx;Laden;;Stornogrundbericht;finanzen/analytics/getReport?report=39&storeId=<encId>;+ Stornogrund;4 Gruende: 0 Keine Zuordnung, 1 Bruch/Kork, 2 verderb, 5 schwund;direkt;Werte unverifiziert
Umsetzung Berichte (1).xlsx;Laden;;Tenderverkauf / Rabattbericht;finanzen/analytics/getReport?report=92&storeId=<encId>;Rabatt, Artikel, Brutto, Netto, Anzahl;;direkt;Werte unverifiziert
Umsetzung Berichte (1).xlsx;Laden;;Zusatzverkauf pro Kellner;finanzen/analytics/getReport?report=60/61&storeId=<encId>;Umsatz pro Kellner;;direkt;
Umsetzung Berichte (1).xlsx;Laden;;Persoverzehr / Kost-Sach-Bezug;finanzen/analytics/getReport?report=114&storeId=<encId>;Mitarbeiter Verpflegung;;direkt;
Umsetzung Berichte (1).xlsx;Laden;;Einkaufsartikel Verbrauch;wawi/api/items + wawi/api/orders + wawi/inventory/inventory;items, orders.posten, units.factor;vollstaendige JSON-API, ohne Foodnotify;direkt;
Projektbeschreibung;-;-;Rezepturaufloesung (Trend-Zutaten);wawi/rezept/recipeedit?items=b-<base64>&tab=ingred;Zutat, Anzahl, Einheit, Zubereitungsverlust;nur HTML, kein JSON;fehlt;Nice-to-have, Scraping ueber 1428 Artikel unrealistisch
