lina_betrieb_id;konzept;betrieb;eingangsrechnungen;ausgangsrechnungen;inventur_bruchlisten;kassenbelege;lieferscheine;bwa;susa;kontoauszuege;summe
52;Enchi-Gruppe geschlossene;GESCHLOSSEN Enchilada Gronau GmbH;16;0;0;0;0;0;0;49;65
21;Enchi-Gruppe geschlossene;GESCHLOSSEN Enchilada Halle Gaststättenbetriebs Gm;0;0;0;0;0;0;0;0;0
555;Enchi-Gruppe geschlossene;GESCHLOSSEN Enchilada Kaiserslautern GmbH ;0;0;0;0;0;0;0;0;0
24;Enchi-Gruppe geschlossene;GESCHLOSSEN Enchilada Kassel;333;0;0;1;0;24;9;0;367
25;Enchi-Gruppe geschlossene;GESCHLOSSEN Enchilada Koblenz;1151;84;65;470;0;36;29;58;1893
27;Enchi-Gruppe geschlossene;GESCHLOSSEN Enchilada Mannheim GmbH;0;0;0;0;0;0;0;0;0
28;Enchi-Gruppe geschlossene;GESCHLOSSEN Enchilada München;0;0;0;0;0;0;0;0;0
109;Enchi-Gruppe geschlossene;GESCHLOSSEN Enchilada Schweinfurt;0;10;0;0;0;0;0;0;10
104;Enchi-Gruppe geschlossene;GESCHLOSSEN Enchilada Wiesbaden GmbH;0;0;0;0;0;0;0;0;0
11;Enchi-Gruppe geschlossene;GESCHLOSSEN Enchilada Zwickau;0;0;0;0;0;0;0;0;0
39;Enchi-Gruppe geschlossene;GESCHLOSSEN Lehners München;0;0;0;0;0;0;0;0;0
770;Enchi-Gruppe geschlossene;GESCHLOSSEN LUX Oldenburg GmbH;0;0;0;0;0;0;0;0;0
246;Enchi-Gruppe geschlossene;GESCHLOSSEN Restless München GmbH - Aposto München;62;1;0;0;0;0;0;59;122
4361;Enchi-Gruppe geschlossene;Geschlossen Wilma Wunder Hannover GmbH;2967;265;33;183;0;26;31;86;3591
730;Enchi-Gruppe geschlossene;GESCHLOSSEN Wilma Wunder Heilbronn GmbH;62;1;0;0;0;0;1;30;94
1043;Enchi-Gruppe geschlossene;INSOLVENT - Besitos MG GmbH;3732;66;112;153;1;10;34;70;4178
123;Enchi-Gruppe geschlossene;INSOLVENT - Enchilada Bruchsal;3625;513;85;2316;0;28;46;191;6804
132;Enchi-Gruppe geschlossene;INSOLVENT - Enchilada Gießen;1206;0;74;224;11;51;34;151;1751
4;Enchi-Gruppe geschlossene;INSOLVENT - Enchilada Pforzheim GmbH;2076;42;66;599;0;18;37;172;3010
937;Enchi-Gruppe geschlossene;INSOLVENT - Enchilada Uniring GmbH;2514;35;48;588;2;29;39;137;3392
1025;Enchilada;COYACAN GmbH;5931;123;147;3428;0;34;67;173;9903
17;Enchilada;Enchilada Aalen GmbH;4344;244;98;639;0;100;68;481;5974
177;Enchilada;Enchilada Aschaffenburg GmbH;4547;82;82;1882;0;19;46;168;6826
2;Enchilada;Enchilada Augsburg;6029;43;60;37;0;13;52;98;6332
1;Enchilada;Enchilada Bayreuth GmbH;4388;87;42;1248;0;40;67;72;5944
18;Enchilada;Enchilada Bremen;29;0;0;0;1;1;0;0;31
20;Enchilada;Enchilada Freiburg GmbH;5770;70;109;490;0;38;65;220;6762
63;Enchilada;Enchilada Freudenstadt GmbH ;4717;26;1;412;0;23;56;85;5320
22;Enchilada;Enchilada Hamm;3661;9;0;2350;0;20;56;875;6971
36;Enchilada;Enchilada Hannover GmbH;6335;183;144;1548;0;76;73;183;8542
23;Enchilada;Enchilada Heilbronn GmbH;4696;121;187;644;0;44;69;259;6020
15;Enchilada;Enchilada Karlsruhe GmbH;8383;48;164;343;0;49;72;82;9141
819;Enchilada;Enchilada Kempten GmbH;4939;14;145;308;0;19;51;118;5594
26;Enchilada;Enchilada Leipzig GmbH;0;0;0;0;1;0;0;0;1
189;Enchilada;Enchilada Marburg GmbH;2663;93;168;397;0;15;65;100;3501
29;Enchilada;Enchilada Minden GmbH;5750;280;68;147;0;26;66;81;6418
30;Enchilada;Enchilada Münster GmbH;4465;324;0;2603;0;20;51;120;7583
31;Enchilada;Enchilada Nürnberg GmbH;5474;88;123;1140;0;60;71;105;7061
32;Enchilada;Enchilada Rosenheim GmbH;16;0;0;524;0;0;0;0;540
34;Enchilada;Enchilada Ulm GmbH;4129;1;61;2078;0;36;65;237;6607
14;Enchilada;Enchilada Würzburg GmbH;3913;41;99;1140;1;48;68;239;5549
998;Enchilada;Gastronomie Wilsdruffer Straße GmbH;4985;215;111;7439;0;51;68;118;12987
5653;Franchisegebergesellschaften;Aposto Management GmbH;143;0;0;0;0;0;0;33;176
5666;Franchisegebergesellschaften;Burrito Company Franchise GmbH;129;1;0;0;0;0;0;9;139
62;Franchisegebergesellschaften;CONCEPT FAMILY Franchise AG;12064;352;0;18;0;20;10;1009;13473
120;Franchisegebergesellschaften;Condukto AG;577;19;0;0;0;24;19;135;774
5741;Franchisegebergesellschaften;Condukto Franchise GmbH;79;13;0;0;0;10;9;28;139
4620;Franchisegebergesellschaften;Condukto Service GmbH;260;122;0;0;0;1;19;41;443
4095;Franchisegebergesellschaften;Eat Tasty Franchise AG;0;0;0;0;0;0;0;0;0
3513;Franchisegebergesellschaften;Enchilada Beteiligungs GmbH;174;3;0;0;0;10;6;61;254
5651;Franchisegebergesellschaften;Enchilada Management GmbH;191;0;0;0;0;0;0;34;225
1093;Franchisegebergesellschaften;Family & Friends Gastro Service AG;437;23;0;0;0;20;20;60;560
1091;Franchisegebergesellschaften;Family & Friends Marketing GmbH;4883;215;0;0;0;14;7;344;5463
95;Franchisegebergesellschaften;Gastro Experts GmbH;2907;1277;0;45;0;87;62;554;4932
5891;Franchisegebergesellschaften;Riviera Calling AG;60;1;0;2;0;0;4;8;75
4671;Franchisegebergesellschaften;Schlager Cafe Beteiligungs AG;61;0;0;0;0;0;1;24;86
4643;Franchisegebergesellschaften;Schlager Cafe Franchise AG;302;6;0;1;0;0;2;50;361
3353;Franchisegebergesellschaften;Wilma Wunder Beteiligungs AG;142;9;0;0;0;16;9;56;232
5652;Franchisegebergesellschaften;Wilma Wunder Management GmbH;244;0;0;0;0;0;0;33;277
4309;Ghost Kitchen;EatTasty Speisekarte;0;0;0;0;0;0;0;0;0
4639;Ghost Kitchen;Geschlossen - Eat Tasty Gräfelfing;2442;0;0;141;0;0;7;5;2595
4067;Ghost Kitchen;Geschlossen - Eat Tasty Mainz GmbH;3621;2;37;112;0;0;7;61;3840
4210;Kooperationspartner;Heidis Braustüberl GmbH;2254;93;9;113;1;0;44;64;2578
5660;Kooperationspartner;SCHAFFERONE GmbH;2048;0;1;16;0;0;17;2;2084
4640;Schlager Cafe;Schlager Cafe Düsseldorf GmbH;2941;290;0;441;0;1;12;44;3729
4410;Sonstige Enchilada Gruppe;Alpenhotel Dahoam;31;0;0;0;0;0;0;0;31
3511;Sonstige Enchilada Gruppe;Aposto Beteiligungs GmbH;195;1;0;0;0;8;5;60;269
3512;Sonstige Enchilada Gruppe;Burgerheart Beteiligungs GmbH;138;0;0;0;0;9;5;56;208
199;Sonstige Enchilada Gruppe;Domhof GmbH;6243;1130;310;431;0;8;63;89;8274
805;Sonstige Enchilada Gruppe;Enchilada Lernwelt;0;0;0;0;0;0;0;0;0
1008;Sonstige Enchilada Gruppe;Gastwirtschaft Bavariaring 5 GmbH;1556;90;26;172;0;44;24;16;1928
4055;Sonstige Enchilada Gruppe;KUZ - Wilma Wunder Ballplatz Mainz GmbH;98;0;92;47;0;0;0;0;237
4298;Sonstige Enchilada Gruppe;Tobi Enchi Testladen Zwei;0;0;0;0;0;0;0;0;0
4034;Sonstige Enchilada Gruppe;Tobi Enchi ZAV Test;0;0;0;0;0;0;0;0;0
396;Wilma Wunder;Gastronomie am Markt Mainz GmbH;10423;471;111;1841;0;60;66;255;13227
833;Wilma Wunder;Wilma Wunder Ballplatz Mainz GmbH;5976;753;303;1734;0;53;77;127;9023
5721;Wilma Wunder;Wilma Wunder Bochum GmbH;0;0;0;0;0;0;0;0;0
867;Wilma Wunder;Wilma Wunder Dresden GmbH;6388;0;228;11785;0;95;78;0;18574
868;Wilma Wunder;Wilma Wunder Düsseldorf GmbH;6377;550;8;4167;0;33;63;186;11384
5611;Wilma Wunder;Wilma Wunder Freudenstadt GmbH;714;1;0;56;0;0;13;0;784
4316;Wilma Wunder;Wilma Wunder Karlsruhe GmbH;6154;44;108;7350;74;0;39;83;13852
1024;Wilma Wunder;Wilma Wunder Köln GmbH;11324;443;230;5015;0;30;64;246;17352
4556;Wilma Wunder;Wilma Wunder Nürnberg GmbH;1589;0;18;470;0;0;15;33;2125
4176;Wilma Wunder;Wilma Wunder Passau GmbH;36;0;0;27;0;0;0;0;63
4617;Wilma Wunder;Wilma Wunder Recklinghausen GmbH;2892;12;6;2619;0;1;21;5;5556
4646;Wilma Wunder;Wilma Wunder Speyer GmbH;2492;76;9;534;0;0;19;63;3193
1068;Wilma Wunder;Wilma Wunder Stuttgart GmbH;8375;318;164;4793;404;62;88;184;14388
5769;Wilma Wunder;Wilma Wunder Viernheim GmbH;1170;0;2;1;0;0;4;5;1182
